timestamp,pos_x,pos_y,pos_z,roll,pitch,yaw,imu_pos_x,imu_pos_y,imu_pos_z,vel_x,vel_y,vel_z,uncertainty_x,uncertainty_y,uncertainty_z
17.576839,-16.199667,-112.274846,-62.736001,-0.000498,0.049320,-0.014840,-115.244008,-311.704872,-102.908558,-1974.710448,-3988.602265,-803.526077,0.088362,0.088362,0.088362
17.626839,-15.894834,-112.274941,-62.740014,0.001706,0.014983,-0.014148,-114.947534,-311.704969,-102.915201,-1974.957347,-3988.602461,-803.583988,0.088362,0.088362,0.088362
17.676839,-15.591797,-112.275033,-62.743889,0.001278,-0.015774,-0.013558,-114.653107,-311.705062,-102.921579,-1975.165460,-3988.602429,-803.631285,0.088362,0.088362,0.088362
17.726839,-15.288079,-112.275138,-62.747211,-0.001019,-0.045743,-0.012974,-114.358393,-311.705165,-102.927002,-1975.331922,-3988.602645,-803.662250,0.088362,0.088362,0.088362
17.776839,-14.981877,-112.275168,-62.749779,-0.001262,-0.058640,-0.011219,-114.061481,-311.705205,-102.931156,-1975.468057,-3988.601338,-803.678907,0.088362,0.088362,0.088362
17.826839,-14.670764,-112.275183,-62.751454,-0.001057,-0.061758,-0.009988,-113.759730,-311.705220,-102.933816,-1975.557064,-3988.601037,-803.680747,0.088362,0.088362,0.088362
17.876839,-14.353861,-112.275153,-62.752293,-0.000409,-0.044958,-0.009350,-113.452212,-311.705170,-102.935094,-1975.628952,-3988.599742,-803.672802,0.088362,0.088362,0.088362
17.926839,-14.031450,-112.275181,-62.752605,-0.002516,-0.015039,-0.009006,-113.138844,-311.705188,-102.935525,-1975.699646,-3988.600706,-803.664630,0.088362,0.088362,0.088362
17.976839,-13.706871,-112.275190,-62.753119,-0.001557,0.028137,-0.008711,-112.822515,-311.705201,-102.936346,-1975.821305,-3988.600404,-803.674808,0.088362,0.088362,0.088362
18.026839,-13.383917,-112.275209,-62.754454,-0.001686,0.058145,-0.007615,-112.507046,-311.705233,-102.938580,-1976.003512,-3988.600859,-803.709220,0.088362,0.088362,0.088362
18.076839,-13.065404,-112.275204,-62.756826,-0.002747,0.072909,-0.006876,-112.195870,-311.705224,-102.942556,-1976.239046,-3988.600316,-803.762047,0.088362,0.088362,0.088362
18.126839,-12.751849,-112.275205,-62.760032,-0.000221,0.063083,-0.006530,-111.889837,-311.705217,-102.947907,-1976.488674,-3988.600272,-803.821613,0.088362,0.088362,0.088362
18.176839,-12.444053,-112.275190,-62.763921,-0.001246,0.044025,-0.006365,-111.589950,-311.705193,-102.954376,-1976.762035,-3988.599747,-803.886890,0.088362,0.088362,0.088362
18.226839,-12.140198,-112.275195,-62.768054,0.000819,0.008291,-0.006260,-111.294406,-311.705201,-102.961216,-1977.007050,-3988.600218,-803.945905,0.088362,0.088362,0.088362
18.276839,-11.838992,-112.275198,-62.772035,0.002911,-0.023158,-0.006222,-111.002220,-311.705205,-102.967768,-1977.240456,-3988.600203,-803.994262,0.088362,0.088362,0.088362
